id	imageUrl	artist	artistUrl	platform	imageSourceUrl	mediaSource	girlOrBoy
5F	https://static.zerochan.net/Hinata.%28Pixiv53862745%29.full.3850193.png	ひなた	https://www.pixiv.net/en/users/53862745	pixiv	https://www.pixiv.net/en/artworks/102767277	#N/A	girl
60	https://static.zerochan.net/Kyaru.full.3850073.jpg	なおすけ	https://www.pixiv.net/en/users/43924270	pixiv	https://www.pixiv.net/en/artworks/103719175	Princess Connect!	girl
61	https://static.zerochan.net/Nekomata.Okayu.full.3850066.jpg	LUZZI	https://www.pixiv.net/en/users/24955808	pixiv	https://www.pixiv.net/en/artworks/103719179	Hololive	girl
62	https://static.zerochan.net/R.E.V.O..full.3849819.jpg	TabrisMinto	https://www.pixiv.net/en/users/8085365	pixiv	https://www.pixiv.net/en/artworks/103707183	Sound Horizon	boy
63	https://static.zerochan.net/Miraculous.Ladybug.full.3848366.jpg	SoundlessWind	https://twitter.com/SoundlessWind	twitter	https://twitter.com/SoundlessWind/status/1550221328732635138	Miraculous Ladybug	duo
64	https://static.zerochan.net/Diabolik.Lovers.~Haunted.dark.bridal~.full.3846156.png	amo.	https://www.pixiv.net/en/users/7460186	pixiv	https://www.pixiv.net/en/artworks/44439933	Diabolik Lovers ~Haunted dark bridal~	boy
65	https://static.zerochan.net/Karutamo.full.3845605.png	かるたも	https://www.pixiv.net/en/users/10600906	pixiv	https://www.pixiv.net/en/artworks/102397103	#N/A	girl
66	https://static.zerochan.net/Genshin.Impact.full.3846520.jpg	moonclover	https://www.pixiv.net/en/users/79540711	pixiv	https://www.pixiv.net/en/artworks/103401670	Genshin Impact	duo
67	https://static.zerochan.net/Chongyun.full.3841134.jpg	らく	https://www.pixiv.net/en/users/1268051	pixiv	https://www.pixiv.net/en/artworks/90039527	Genshin Impact	boy
68	https://media.discordapp.net/attachments/1062621565080059964/1062811306404626513/e1BUB8O1jdJdZvPU.png	らく	https://www.pixiv.net/en/users/1268051	pixiv	https://www.pixiv.net/en/artworks/90039527	Genshin Impact	boy
69	https://static.zerochan.net/Nyatasha.Nyanners.full.3840764.jpg	KAGAYA∞	https://www.pixiv.net/en/users/41106977	pixiv	https://www.pixiv.net/en/artworks/103451188	VShojo	girl
6A	https://static.zerochan.net/Harmonie.%28Arknights%29.full.3840824.png	Horn/wood	https://www.pixiv.net/en/users/11045087	pixiv	https://www.pixiv.net/en/artworks/97471871	Arknights	girl
6B	https://media.discordapp.net/attachments/1062621565080059964/1062812251528101989/6ba0t4Qj4x5A1xpZ.png	Horn/wood	https://www.pixiv.net/en/users/11045087	pixiv	https://www.pixiv.net/en/artworks/97471871	Arknights	girl
6C	https://static.zerochan.net/Minato.Aqua.full.3841522.jpg	イチリ	https://www.pixiv.net/en/users/27207	pixiv	https://www.pixiv.net/en/artworks/103476392	Hololive	girl
6D	https://static.zerochan.net/Azur.Lane.full.3843438.png	ヨルモン	https://www.pixiv.net/en/users/17413075	pixiv	https://www.pixiv.net/artworks/100666390	Azur Lane	girl
6E	https://static.zerochan.net/Harmonie.%28Arknights%29.full.3843400.jpg	Songchuanli	https://twitter.com/Songchuanli	twitter	https://www.twitter.com/Songchuanli/status/1601527405168185344	Arknights	girl
6F	https://static.zerochan.net/Boris.Airay.full.3838721.png	ムラシゲ	https://www.pixiv.net/en/users/2243433	pixiv	https://www.pixiv.net/en/artworks/49106038	Heart no Kuni no Alice	boy
70	https://static.zerochan.net/Hypnosis.Mic.-Division.Rap.Battle-.full.3782712.jpg	orang_333	https://twitter.com/orang_333	twitter	https://twitter.com/orang_333/status/1496502441906675712	Hypnosis Mic -Division Rap Battle-	boy
71	https://static.zerochan.net/Yamada.Ichirou.%28Hypnosis.Mic%29.full.3782696.jpg	orang_333	https://twitter.com/orang_333	twitter	https://twitter.com/orang_333/status/1519334305218015233	Hypnosis Mic -Division Rap Battle-	boy
